Survived,PassengerId,Pclass,Age,Fare
yes,208,3,26,18.7875
yes,209,3,16,7.75
yes,210,1,40,31
No,211,3,24,7.05
yes,212,2,35,21
No,213,3,22,7.25
No,214,2,30,13
No,215,3,33,7.75
yes,216,1,31,113.275
yes,217,3,27,7.925
No,218,2,42,27
yes,219,1,32,76.2917
No,220,2,30,10.5
yes,221,3,16,8.05
No,222,2,27,13
No,223,3,51,8.05
No,224,3,34,7.8958
yes,225,1,38,90
No,226,3,22,9.35
yes,227,2,19,10.5
No,228,3,20,7.25
No,229,2,18,13
No,230,3,24,25.4667
yes,231,1,44,83.475
No,232,3,29,7.775
No,233,2,59,13.5
yes,234,3,5,31.3875
No,235,2,24,10.5
No,236,3,24,7.55
No,237,2,44,26
yes,238,2,8,26.25
No,239,2,19,10.5
No,240,2,33,12.275
No,241,3,24,14.4542
yes,242,3,24,15.5
No,243,2,29,10.5
No,244,3,22,7.125
No,245,3,30,7.225
No,246,1,44,90
No,247,3,25,7.775
yes,248,2,24,14.5
yes,249,1,37,52.5542
No,250,2,54,26
No,251,3,42,7.25
No,252,3,29,10.4625
No,253,1,62,26.55
No,254,3,30,16.1
No,255,3,41,20.2125
yes,256,3,29,15.2458
yes,257,1,23,79.2
yes,258,1,30,86.5
yes,259,1,35,512.3292
yes,260,2,50,26
No,261,3,42,7.75
yes,262,3,3,31.3875
No,263,1,52,79.65
No,264,1,40,22
No,265,3,44,7.75
No,266,2,36,10.5
No,267,3,16,39.6875
yes,268,3,25,7.775
yes,269,1,58,153.4625
yes,270,1,35,135.6333
No,271,1,22,31
yes,272,3,25,22
yes,273,2,41,19.5
No,274,1,37,29.7
yes,275,3,22,7.75
yes,276,1,63,77.9583
No,277,3,45,7.75
No,278,2,22,22
No,279,3,7,29.125
yes,280,3,35,20.25
No,281,3,65,7.75
No,282,3,28,7.8542
No,283,3,16,9.5
yes,284,3,19,8.05
No,285,1,23,26
No,286,3,33,8.6625
yes,287,3,30,9.5
No,288,3,22,7.8958
yes,289,2,42,13
yes,290,3,22,7.75
yes,291,1,26,78.85
yes,292,1,19,91.0792
No,293,2,36,12.875
No,294,3,24,8.85
No,295,3,24,7.8958
No,296,1,24,27.7208
No,297,3,23,7.2292
No,298,1,2,151.55
yes,299,1,24,30.5
yes,300,1,50,247.5208
yes,301,3,2,7.75
yes,302,3,42,23.25
No,303,3,19,22
yes,304,2,33,12.35
No,305,3,33,8.225
yes,306,1,92,151.55
yes,307,1,22,110.8833
yes,308,1,17,108.9
No,309,2,30,24
yes,310,1,30,56.9292
yes,311,1,24,83.1583
yes,312,1,18,262.375
No,313,2,26,26
No,314,3,28,7.8958
No,315,2,43,26.25
yes,316,3,26,7.8542
yes,317,2,24,26
No,318,2,54,14
yes,319,1,31,164.8667
yes,320,1,40,134.5
No,321,3,22,7.25
No,322,3,27,7.8958
yes,323,2,30,12.35
yes,324,2,22,29
No,325,3,44,69.55
yes,326,1,36,135.6333
No,327,3,61,6.2375
yes,328,2,36,13
yes,329,3,31,20.525
yes,330,1,16,57.9792
yes,331,3,33,23.25
No,332,1,45.5,28.5
No,333,1,38,153.4625
No,334,3,16,18
yes,335,1,23,133.65
No,336,3,22,7.8958
No,337,1,22,66.6
yes,338,1,41,134.5
yes,339,3,45,8.05
No,340,1,45,35.5
yes,341,2,2,26
yes,342,1,24,263
No,343,2,28,13
No,344,2,25,13
No,345,2,36,13
yes,346,2,24,13
yes,347,2,40,13
yes,348,3,23,16.1
yes,349,3,3,15.9
No,350,3,42,8.6625
No,351,3,23,9.225
No,352,1,23,35
No,353,3,15,7.2292
No,354,3,25,17.8
No,355,3,24,7.225
No,356,3,28,9.5
yes,357,1,22,55
No,358,2,38,13
yes,359,3,24,7.8792
yes,360,3,24,7.8792
No,361,3,40,27.9
No,362,2,29,27.7208
No,363,3,45,14.4542
No,364,3,35,7.05
No,365,3,24,15.5
No,366,3,30,7.25
yes,367,1,60,75.25
yes,368,3,22,7.2292
yes,369,3,22,7.75
yes,370,1,24,69.3
yes,371,1,25,55.4417
No,372,3,18,6.4958
No,373,3,19,8.05
No,374,1,22,135.6333
No,375,3,3,21.075
yes,376,1,22,82.1708
yes,377,3,22,7.25
No,378,1,27,211.5
No,379,3,20,4.0125
No,380,3,19,7.775
yes,381,1,42,227.525
yes,382,3,1,15.7417
No,383,3,32,7.925
yes,384,1,35,52
No,385,3,24,7.8958
No,386,2,18,73.5
No,387,3,1,46.9
yes,388,2,36,13
No,389,3,24,7.7292
yes,390,2,17,12
yes,391,1,36,120
yes,392,3,21,7.7958
No,393,3,28,7.925
yes,394,1,23,113.275
yes,395,3,24,16.7
No,396,3,22,7.7958
No,397,3,31,7.8542
No,398,2,46,26
No,399,2,23,10.5
yes,400,2,28,12.65
yes,401,3,39,7.925
No,402,3,26,8.05
No,403,3,21,9.825
No,404,3,28,15.85
No,405,3,20,8.6625
No,406,2,34,21
No,407,3,51,7.75
yes,408,2,3,18.75
No,409,3,21,7.775
No,410,3,23,25.4667
No,411,3,24,7.8958
No,412,3,24,6.8583
yes,413,1,33,90
No,414,2,24,22
yes,415,3,44,7.925
No,416,3,24,8.05
yes,417,2,34,32.5
yes,418,2,18,13
No,419,2,30,13
No,420,3,10,24.15
No,421,3,24,7.8958
No,422,3,21,7.7333
No,423,3,29,7.875
No,424,3,28,14.4
No,425,3,18,20.2125
No,426,3,24,7.25
yes,427,2,28,26
yes,428,2,19,26
No,429,3,22,7.75
yes,430,3,32,8.05
yes,431,1,28,26.55
yes,432,3,44,16.1
yes,433,2,42,26
No,434,3,17,7.125
No,435,1,50,55.9
yes,436,1,14,120
No,437,3,21,34.375
yes,438,2,24,18.75
No,439,1,64,263
No,440,2,31,10.5
yes,441,2,45,26.25
No,442,3,20,9.5
No,443,3,25,7.775
yes,444,2,28,13
yes,445,3,24,8.1125
yes,446,1,4,81.8583
yes,447,2,13,19.5
yes,448,1,34,26.55
yes,449,3,5,19.2583
yes,450,1,52,30.5
No,451,2,36,27.75
No,452,3,24,19.9667
No,453,1,30,27.75
yes,454,1,49,89.1042
No,455,3,44,8.05
yes,456,3,29,7.8958
No,457,1,65,26.55
yes,458,1,45,51.8625
yes,459,2,50,10.5
No,460,3,55,7.75
yes,461,1,48,26.55
No,462,3,34,8.05
No,463,1,47,38.5
No,464,2,48,13
No,465,3,45,8.05
No,466,3,38,7.05
No,467,2,34,22
No,468,1,56,26.55
No,469,3,34,7.725
yes,470,3,75,19.2583
No,471,3,33,7.25
No,472,3,38,8.6625
yes,473,2,33,27.75
yes,474,2,23,13.7917
No,475,3,22,9.8375
No,476,1,34,52
No,477,2,34,21
No,478,3,29,7.0458
No,479,3,22,7.5208
yes,480,3,2,12.2875
No,481,3,9,46.9
No,482,2,33,22
No,483,3,50,8.05
yes,484,3,63,9.5875
yes,485,1,25,91.0792
No,486,3,33,25.4667
yes,487,1,35,90
No,488,1,58,29.7
No,489,3,30,8.05
yes,490,3,9,15.9
No,491,3,33,19.9667
No,492,3,21,7.25
No,493,1,55,30.5
No,494,1,71,49.5042
No,495,3,21,8.05
No,496,3,33,14.4583
yes,497,1,54,78.2667
No,498,3,33,15.1
No,499,1,25,151.55
No,500,3,24,7.7958
No,501,3,17,8.6625
No,502,3,21,7.75
No,503,3,34,7.6292
No,504,3,37,9.5875
yes,505,1,16,86.5
No,506,1,18,108.9
yes,507,2,33,26
yes,508,1,34,26.55
No,509,3,28,22.525
yes,510,3,26,56.4958
yes,511,3,29,7.75
No,512,3,22,8.05
yes,513,1,36,26.2875
yes,514,1,54,59.4
No,515,3,24,7.4958
No,516,1,47,34.0208
yes,517,2,34,10.5
No,518,3,23,24.15
yes,519,2,36,26
No,520,3,32,7.8958
yes,521,1,30,93.5
No,522,3,22,7.8958
No,523,3,22,7.225
yes,524,1,44,57.9792
No,525,3,33,7.2292
No,526,3,40,7.75
yes,527,2,50,10.5
No,528,1,33,221.7792
No,529,3,39,7.925
No,530,2,23,11.5
yes,531,2,2,26
No,532,3,23,7.2292
No,533,3,17,7.2292
yes,534,3,44,22.3583
No,535,3,30,8.6625
yes,536,2,7,26.25
No,537,1,45,26.55
yes,538,1,30,106.425
No,539,3,24,14.5
yes,540,1,22,49.5
yes,541,1,36,71
No,542,3,9,31.275
No,543,3,11,31.275
yes,544,2,32,26
No,545,1,50,106.425
No,546,1,64,26
yes,547,2,19,26
yes,548,2,45,13.8625
No,549,3,33,20.525
yes,550,2,8,36.75
yes,551,1,17,110.8833
No,552,2,27,26
No,553,3,45,7.8292
yes,554,3,22,7.225
yes,555,3,22,7.775
No,556,1,62,26.55
yes,557,1,48,39.6
No,558,1,24,227.525
yes,559,1,39,79.65
yes,560,3,36,17.4
No,561,3,24,7.75
No,562,3,40,7.8958
No,563,2,28,13.5
No,564,3,24,8.05
No,565,3,24,8.05
No,566,3,24,24.15
No,567,3,19,7.8958
No,568,3,29,21.075
No,569,3,44,7.2292
yes,570,3,32,7.8542
yes,571,2,62,10.5
yes,572,1,53,51.4792
yes,573,1,36,26.3875
yes,574,3,45,7.75
No,575,3,16,8.05
No,576,3,19,14.5
yes,577,2,34,13
yes,578,1,39,55.9
No,579,3,34,14.4583
yes,580,3,32,7.925
yes,581,2,25,30
yes,582,1,39,110.8833
No,583,2,54,26
No,584,1,36,40.125
No,585,3,35,8.7125
yes,586,1,35,79.65
No,587,2,47,15
yes,588,1,60,79.2
No,589,3,22,8.05
No,590,3,33,8.05
No,591,3,35,7.125
yes,592,1,52,78.2667
No,593,3,47,7.25
No,594,3,35,7.75
No,595,2,37,26
No,596,3,36,24.15
yes,597,2,35,33
No,598,3,49,0
No,599,3,35,7.225
yes,600,1,49,56.9292
yes,601,2,24,27
No,602,3,33,7.8958
No,603,1,33,42.4
No,604,3,44,8.05
yes,605,1,35,26.55
No,606,3,36,15.55
No,607,3,30,7.8958
yes,608,1,27,30.5
yes,609,2,22,41.5792
yes,610,1,40,153.4625
No,611,3,39,31.275
No,612,3,33,7.05
yes,613,3,33,15.5
No,614,3,33,7.75
No,615,3,35,8.05
yes,616,2,24,65
No,617,3,34,14.4
No,618,3,26,16.1
yes,619,2,4,39
No,620,2,26,10.5
No,621,3,27,14.4542
yes,622,1,42,52.5542
yes,623,3,20,15.7417
No,624,3,21,7.8542
No,625,3,21,16.1
No,626,1,61,32.3208
No,627,2,57,12.35
yes,628,1,21,77.9583
No,629,3,26,7.8958
No,630,3,35,7.7333
yes,631,1,80,30
No,632,3,51,7.0542
yes,633,1,32,30.5
No,634,1,35,22
No,635,3,9,27.9
yes,636,2,28,13
No,637,3,32,7.925
No,638,2,31,26.25
No,639,3,41,39.6875
No,640,3,35,16.1
No,641,3,20,7.8542
yes,642,1,24,69.3
No,643,3,2,27.9
yes,644,3,35,56.4958
yes,645,3,75,19.2583
yes,646,1,48,76.7292
No,647,3,19,7.8958
yes,648,1,56,35.5
No,649,3,55,7.55
yes,650,3,23,7.55
No,651,3,44,7.8958
yes,652,2,18,23
No,653,3,21,8.4333
yes,654,3,32,7.8292
No,655,3,18,6.75
No,656,2,24,73.5
No,657,3,24,7.8958
No,658,3,32,15.5
No,659,2,23,13
No,660,1,58,113.275
yes,661,1,50,133.65
No,662,3,40,7.225
No,663,1,47,25.5875
No,664,3,36,7.4958
yes,665,3,20,7.925
No,666,2,32,73.5
No,667,2,25,13
No,668,3,24,7.775
No,669,3,43,8.05
yes,670,1,24,52
yes,671,2,40,39
No,672,1,31,52
No,673,2,70,10.5
yes,674,2,31,13
No,675,2,24,22
No,676,3,18,7.775
No,677,3,24.5,8.05
yes,678,3,18,9.8417
No,679,3,43,46.9
yes,680,1,36,512.3292
No,681,3,24,8.1375
yes,682,1,27,76.7292
No,683,3,20,9.225
No,684,3,14,46.9
No,685,2,60,39
No,686,2,25,41.5792
No,687,3,14,39.6875
No,688,3,19,10.1708
No,689,3,18,7.7958
yes,690,1,15,211.3375
yes,691,1,31,57
yes,692,3,4,13.4167
yes,693,3,44,56.4958
No,694,3,25,7.225
No,695,1,60,26.55
No,696,2,52,13.5
No,697,3,44,8.05
yes,698,3,24,7.7333
No,699,1,49,110.8833
No,700,3,42,7.65
yes,701,1,18,227.525
yes,702,1,35,26.2875
No,703,3,18,14.4542
No,704,3,25,7.7417
No,705,3,26,7.8542
No,706,2,39,26
yes,707,2,45,13.5
yes,708,1,42,26.2875
yes,709,1,22,151.55
yes,710,3,22,15.2458
yes,711,1,24,49.5042
No,712,1,24,26.55
yes,713,1,48,52
No,714,3,29,9.4833
No,715,2,52,13
No,716,3,19,7.65
yes,717,1,38,227.525
yes,718,2,27,10.5
No,719,3,24,15.5
No,720,3,33,7.775
yes,721,2,6,33
No,722,3,17,7.0542
No,723,2,34,13
No,724,2,50,13
yes,725,1,27,53.1
No,726,3,20,8.6625
yes,727,2,30,21
yes,728,3,44,7.7375
No,729,2,25,26
No,730,3,25,7.925
yes,731,1,29,211.3375
No,732,3,11,18.7875
No,733,2,35,22
No,734,2,23,13
No,735,2,23,13
No,736,3,28.5,16.1
No,737,3,48,34.375
yes,738,1,35,512.3292
No,739,3,24,7.8958
No,740,3,24,7.8958
yes,741,1,22,30
No,742,1,36,78.85
yes,743,1,21,262.375
No,744,3,24,16.1
yes,745,3,31,7.925
No,746,1,70,71
No,747,3,16,20.25
yes,748,2,30,13
No,749,1,19,53.1
No,750,3,31,7.75
yes,751,2,4,23
yes,752,3,6,12.475
No,753,3,33,9.5
No,754,3,23,7.8958
yes,755,2,48,65
yes,756,2,67,14.5
No,757,3,28,7.7958
No,758,2,18,11.5
No,759,3,34,8.05
yes,760,1,33,86.5
No,761,3,24,14.5
No,762,3,41,7.125
yes,763,3,20,7.2292
yes,764,1,36,120
No,765,3,16,7.775
yes,766,1,51,77.9583
No,767,1,24,39.6
No,768,3,30,7.75
No,769,3,22,24.15
No,770,3,32,8.3625
No,771,3,24,9.5
No,772,3,48,7.8542
No,773,2,57,10.5
No,774,3,55,7.225
yes,775,2,54,23
No,776,3,18,7.75
No,777,3,24,7.75
yes,778,3,5,12.475
No,779,3,44,7.7375
yes,780,1,43,211.3375
yes,781,3,13,7.2292
yes,782,1,17,57
No,783,1,29,30
No,784,3,22,23.45
No,785,3,25,7.05
No,786,3,25,7.25
yes,787,3,18,7.4958
No,788,3,8,29.125
yes,789,3,1,20.575
No,790,1,46,79.2
No,791,3,2,7.75
No,792,2,16,26
No,793,3,22,69.55
No,794,1,44,30.6958
No,795,3,25,7.8958
No,796,2,39,13
yes,797,1,49,25.9292
yes,798,3,31,8.6833
No,799,3,30,7.2292
No,800,3,30,24.15
No,801,2,34,13
yes,802,2,31,26.25
yes,803,1,11,120
yes,804,3,42,8.5167
yes,805,3,27,6.975
No,806,3,31,7.775
No,807,1,39,22
No,808,3,18,7.775
No,809,2,39,13
yes,810,1,33,53.1
No,811,3,26,7.8875
No,812,3,39,24.15
No,813,2,35,10.5
No,814,3,6,31.275
No,815,3,30,8.05
No,816,1,24,94
No,817,3,23,7.925
No,818,2,31,37.0042
No,819,3,43,6.45
No,820,3,10,27.9
yes,821,1,52,93.5
yes,822,3,27,8.6625
No,823,1,38,90
yes,824,3,27,12.475
No,825,3,2,39.6875
No,826,3,22,6.95
No,827,3,22,56.4958
yes,828,2,1,37.0042
yes,829,3,22,7.75
yes,830,1,62,80
yes,831,3,15,14.4542
yes,832,2,83,18.75
No,833,3,55,7.2292
No,834,3,23,7.8542
No,835,3,18,8.3
yes,836,1,39,83.1583
No,837,3,55,8.6625
No,838,3,33,8.05
yes,839,3,55,56.4958
yes,840,1,33,29.7
No,841,3,20,7.925
No,842,2,16,10.5
yes,843,1,30,31
No,844,3,34,6.4375
No,845,3,17,8.6625
No,846,3,42,7.55
No,847,3,32,69.55
No,848,3,35,7.8958
No,849,2,28,33
yes,850,1,21,89.1042
No,851,3,4,31.275
No,852,3,74,7.775
No,853,3,9,15.2458
yes,854,1,16,39.4
No,855,2,44,26
yes,856,3,18,9.35
yes,857,1,45,164.8667
yes,858,1,51,26.55
yes,859,3,24,19.2583
No,860,3,11,7.2292
No,861,3,41,14.1083
No,862,2,21,11.5
yes,863,1,48,25.9292
No,864,3,12,69.55
No,865,2,24,13
yes,866,2,42,13
yes,867,2,27,13.8583
No,868,1,31,50.4958
No,869,3,13,9.5
yes,870,3,4,11.1333
No,871,3,26,7.8958
yes,872,1,47,52.5542
No,873,1,33,5
No,874,3,47,9
yes,875,2,28,24
yes,876,3,15,7.225
No,877,3,20,9.8458
No,878,3,19,7.8958
No,879,3,13,7.8958
yes,880,1,56,83.1583
yes,881,2,25,26
No,882,3,33,7.8958
No,883,3,22,10.5167
No,884,2,28,10.5
No,885,3,25,7.05
No,886,3,39,29.125
No,887,2,27,13
yes,888,1,19,30
No,889,3,13,23.45
yes,890,1,26,30
No,891,3,32,7.75
